tissue,level1,level2,level3,level4
Lung,Lymphatic_endothelial_cells,Lung.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.125,Lung.Lymphatic_endothelial_cells.125
Lung,Ciliated_epithelial_cells,Lung.Ciliated_epithelial_cells,Ciliated_epithelial_cells.94,Lung.Ciliated_epithelial_cells.94
Lung,Stromal_cells,Lung.Stromal_cells,Stromal_cells.125,Lung.Stromal_cells.125
Lung,CSH1_CSH2_positive_cells,Lung.CSH1_CSH2_positive_cells,CSH1_CSH2_positive_cells.110,Lung.CSH1_CSH2_positive_cells.110
Lung,Lymphoid_cells,Lung.Lymphoid_cells,Lymphoid_cells.94,Lung.Lymphoid_cells.94
Lung,Mesothelial_cells,Lung.Mesothelial_cells,Mesothelial_cells.125,Lung.Mesothelial_cells.125
Lung,Neuroendocrine_cells,Lung.Neuroendocrine_cells,Neuroendocrine_cells.94,Lung.Neuroendocrine_cells.94
Lung,Visceral_neurons,Lung.Visceral_neurons,Visceral_neurons.94,Lung.Visceral_neurons.94
Lung,Squamous_epithelial_cells,Lung.Squamous_epithelial_cells,Squamous_epithelial_cells.125,Lung.Squamous_epithelial_cells.125
Lung,Squamous_epithelial_cells,Lung.Squamous_epithelial_cells,Squamous_epithelial_cells.94,Lung.Squamous_epithelial_cells.94
Lung,Megakaryocytes,Lung.Megakaryocytes,Megakaryocytes.94,Lung.Megakaryocytes.94
Muscle,Satellite_cells,Muscle.Satellite_cells,Satellite_cells.120,Muscle.Satellite_cells.120
Muscle,Skeletal_muscle_cells,Muscle.Skeletal_muscle_cells,Skeletal_muscle_cells.120,Muscle.Skeletal_muscle_cells.120
Muscle,Stromal_cells,Muscle.Stromal_cells,Stromal_cells.120,Muscle.Stromal_cells.120
Muscle,Vascular_endothelial_cells,Muscle.Vascular_endothelial_cells,Vascular_endothelial_cells.120,Muscle.Vascular_endothelial_cells.120
Muscle,Schwann_cells,Muscle.Schwann_cells,Schwann_cells.120,Muscle.Schwann_cells.120
Muscle,Lymphoid_cells,Muscle.Lymphoid_cells,Lymphoid_cells.120,Muscle.Lymphoid_cells.120
Muscle,Smooth_muscle_cells,Muscle.Smooth_muscle_cells,Smooth_muscle_cells.120,Muscle.Smooth_muscle_cells.120
Muscle,Myeloid_cells,Muscle.Myeloid_cells,Myeloid_cells.120,Muscle.Myeloid_cells.120
Muscle,Erythroblasts,Muscle.Erythroblasts,Erythroblasts.120,Muscle.Erythroblasts.120
Muscle,Megakaryocytes,Muscle.Megakaryocytes,Megakaryocytes.120,Muscle.Megakaryocytes.120
Muscle,Lymphatic_endothelial_cells,Muscle.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.120,Muscle.Lymphatic_endothelial_cells.120
Muscle,Skeletal_muscle_cells,Muscle.Skeletal_muscle_cells,Skeletal_muscle_cells.94,Muscle.Skeletal_muscle_cells.94
Muscle,Stromal_cells,Muscle.Stromal_cells,Stromal_cells.89,Muscle.Stromal_cells.89
Muscle,Vascular_endothelial_cells,Muscle.Vascular_endothelial_cells,Vascular_endothelial_cells.89,Muscle.Vascular_endothelial_cells.89
Muscle,Satellite_cells,Muscle.Satellite_cells,Satellite_cells.94,Muscle.Satellite_cells.94
Muscle,Skeletal_muscle_cells,Muscle.Skeletal_muscle_cells,Skeletal_muscle_cells.89,Muscle.Skeletal_muscle_cells.89
Muscle,Smooth_muscle_cells,Muscle.Smooth_muscle_cells,Smooth_muscle_cells.94,Muscle.Smooth_muscle_cells.94
Muscle,Stromal_cells,Muscle.Stromal_cells,Stromal_cells.94,Muscle.Stromal_cells.94
Muscle,Satellite_cells,Muscle.Satellite_cells,Satellite_cells.89,Muscle.Satellite_cells.89
Muscle,Vascular_endothelial_cells,Muscle.Vascular_endothelial_cells,Vascular_endothelial_cells.94,Muscle.Vascular_endothelial_cells.94
Muscle,Smooth_muscle_cells,Muscle.Smooth_muscle_cells,Smooth_muscle_cells.89,Muscle.Smooth_muscle_cells.89
Muscle,Lymphatic_endothelial_cells,Muscle.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.94,Muscle.Lymphatic_endothelial_cells.94
